file_id,hsa-mir-100,hsa-mir-1-1,hsa-let-7e,hsa-let-7g,hsa-let-7d,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-1-2,hsa-let-7f-1,hsa-let-7c,hsa-mir-103b-2,hsa-let-7f-2,hsa-mir-101-1,hsa-let-7i,hsa-mir-103a-1,hsa-mir-103b-1,hsa-let-7a-1,hsa-let-7a-3,label
4b74975f-0daa-4c80-8bb5-c912873f20fb,3021,1,1398,614,431,7523,3486,11960,16524,3,7837,788,0,7860,3495,436,7650,0,11961,12005,1
81f7bcc6-a6fc-4058-958c-e42424f18635,15935,12,2153,1090,1818,11055,15436,15037,53341,10,3360,5936,0,3270,15355,1228,11120,0,14906,14869,1
de9be7df-c474-40af-ae89-94dbddd945c6,2117,5,2470,1533,2850,13348,31787,17805,59181,2,4662,8644,0,4717,31547,1020,13606,0,17805,18341,1
328f0864-cde9-4bf2-9be4-b19a699575c5,1870,7,1917,711,1470,7406,17401,20057,50520,5,7009,6173,0,7160,17379,865,7172,0,20265,20564,1
91d7000d-bd2a-4182-8f9a-1f4599ef4527,66919,255,10178,7493,3841,92700,49802,50139,44769,279,35105,10905,0,35802,49107,4078,92715,0,49807,50191,1
54c4fc63-3322-4238-a31d-8862102ae2be,4230,6,8385,2353,1252,12492,4299,35097,22969,2,21726,6197,0,21994,4270,1069,12549,0,34967,35014,0
e901ef5e-eac7-4212-93ef-877bbdf98f98,15881,10,10130,2307,1291,16268,7566,36826,25388,20,30432,8038,0,31059,7576,1746,16311,0,36183,36732,0
2a60f3e6-18ab-4c7d-991c-539ecaf27f45,6093,1,3540,2639,1578,36521,18409,25536,21491,1,17043,4114,0,17277,18602,1147,35904,0,25855,25377,1
48e16063-7978-4282-a302-a135c3e65122,9843,15,6312,1876,4806,17595,60908,43126,144648,6,11437,20410,0,11385,60640,2365,17396,0,43375,43413,1
a74d152d-428b-4688-843e-d03263d887d0,5527,3,1275,555,427,7122,5263,8649,13106,3,5764,784,0,5956,5322,685,7149,0,8916,8677,1
68ccc360-9ae4-4f3f-9262-c72291adc60b,18785,12,2140,2128,797,9861,8054,20766,31559,13,18324,2561,0,18569,7932,3100,9729,0,20572,20753,1
de5c398e-9ddc-4063-96c8-b40dc4adfb92,4824,7,9371,1572,1293,73312,3920,13357,10253,20,4176,6263,0,4181,3810,850,73347,0,13605,14198,1
3e011e10-c54c-4701-94d6-687785903211,5376,5,4151,3968,1491,30471,28015,53602,48446,4,31019,18479,0,31003,27817,1766,30524,0,53840,53790,1
3e1bbdb6-3875-4a57-80dd-ca46308fbd79,32668,19,3781,4728,3840,26084,66510,49749,60200,15,20572,6041,0,21063,65336,1766,25833,0,50054,50225,1
f489525d-ae9a-4e73-9d7a-3806524b114f,6305,14,12482,2458,3522,31909,76889,83937,120430,17,30181,13719,0,30824,75653,2386,32096,0,83404,83822,1
33046a34-479b-438a-ae22-0502caad06e2,126309,9,19177,4520,4654,226333,22800,90227,55318,20,43821,249293,0,44284,22649,2617,226363,0,90096,90259,1
